"YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN","Jan-Feb","Mar-May","Jun-Sep","Oct-Dec"
"1901","34.7","38.6","17.8","38.9","50.6","113.2","241.4","271.6","124.7","52.4","38.7","8.199999999999999","1030.8","73.2","107.3","751","99.3"
"1902","7.4","4.2","19","44.1","48.8","111.7","284.9","201","200.2","62.5","29.4","25.2","1038.4","11.6","111.9","797.8","117.2"
"1903","16.7","8","31.1","17.1","59.5","120.3","293.2","274","198.1","119.5","40.3","18","1195.9","24.7","107.7","885.6","177.8"
"1904","14.9","9.699999999999999","31.4","33.7","73.8","165.5","260.3","207.7","130.8","69.8","11.2","16.4","1025.1","24.5","138.8","764.3","97.40000000000001"
"1905","24.7","20.3","41.8","33.8","55.8","93.7","253","201.7","178.1","54.9","9.6","10.1","977.5","45","131.4","726.4","74.7"
"1906","21.4","49.9","31.4","15.8","37.2","177","286.5","251.4","183.9","50.6","17.7","26.3","1149.2","71.3","84.40000000000001","898.9","94.59999999999999"
"1907","16","45.5","37.4","62","32.7","153.1","225.4","308.3","95.40000000000001","23","23.1","12.9","1034.8","61.5","132.1","782.2","58.9"
"1908","19.9","17.1","8.300000000000001","31","45.4","125.6","320.5","306","150.8","38.4","6.8","7.4","1077.4","37","84.7","903","52.7"
"1909","22.7","15.2","6.6","61.6","51.2","207.2","302.3","228.7","157.7","37.5","10","27.9","1128.5","37.9","119.4","895.7","75.40000000000001"
"1910","13.5","10.3","13.7","29","40.8","211.9","247.2","283.4","185.9","108.2","34.6","5.4","1183.9","23.8","83.5","928.5","148.2"
"1911","40.4","5.5","43","23.1","48.2","191.3","163.1","209.9","178.5","71.5","42.4","12.1","1028.9","45.8","114.3","742.8","126"
"1912","20.3","21.6","19.9","37.9","43.8","107.1","326.3","259.2","119.2","58.2","51.7","5.3","1070.4","41.9","101.6","811.8","115.2"
"1913","6.3","38.1","23.7","25.7","72.90000000000001","214.8","269.8","192.6","109.6","68.59999999999999","16.8","23.2","1061.8","44.4","122.2","786.7","108.5"
"1914","5","26.9","25.4","42.8","67.90000000000001","157","342","239.7","191.3","45.5","20.7","21.6","1185.9","31.9","136.1","930","87.90000000000001"
"1915","19.8","37.5","44.1","33.6","63.9","155.1","227.9","226.9","171.7","90.5","45.2","8.199999999999999","1124.4","57.3","141.6","781.5","143.9"
"1916","4.6","20.1","11","35.2","59.4","232","265","309.7","199.6","139.2","46.3","2.9","1324.8","24.7","105.6","1006.2","188.4"
"1917","7.6","37.9","20.5","40.1","74","230.7","282.7","292.8","278.1","161.3","29.1","9.300000000000001","1463.9","45.5","134.5","1084.3","199.6"
"1918","11.8","4","36.6","35.8","103.6","212.3","183.8","240.9","111.8","19.5","44.7","15.5","1020.2","15.8","176","748.8","79.59999999999999"
"1919","48.8","20.2","19.1","32.7","59.5","194.7","304.6","285.3","163.1","91.5","50.1","18.2","1287.9","69","111.4","947.7","159.8"
"1920","23.9","21.3","55.1","38.2","52.5","163.7","295.7","191.6","123","45.9","25.2","3","1039.1","45.2","145.7","774.1","74"
"1921","37.6","7.4","17.8","43.9","51.2","193.9","293.7","274.4","203.3","70.5","16.1","15.3","1225","45","112.9","965.2","101.9"
"1922","28.9","9.800000000000001","14.3","33","48.8","204.9","314.9","218.9","199.8","62","55.6","13.3","1204.2","38.7","96.09999999999999","938.4","131"
"1923","21.6","38.9","21.2","31","58.1","102","337.8","272.8","173.8","58","17.6","15.8","1148.6","60.5","110.3","886.4","91.40000000000001"
"1924","21.1","21.9","14","30.7","61.4","136.8","328.7","255.4","238.4","65.8","57.1","14.6","1245.9","42.9","106.1","959.3","137.6"
"1925","13","11.2","15.3","44.1","100.8","204.7","300.9","234.5","140.2","67.2","41.5","16.1","1189.5","24.3","160.2","880.2","124.8"
"1926","28.3","10.3","55.7","39.4","57.8","98.7","316.9","330.5","210.1","57.3","10.9","10.3","1226.2","38.7","152.9","956.2","78.5"
"1927","13.1","34.7","22.4","36.3","50.4","177.7","346.6","253.2","173.6","69.3","57.2","10.1","1244.6","47.9","109.1","951.1","136.6"
"1928","20.9","40.3","21.1","34.6","54.4","178.9","303.5","229","144","127.7","21.6","24.4","1200.2","61.1","110","855.4","173.7"
"1929","29.6","18.6","14.4","54.6","65.90000000000001","194.1","296.7","241","125.5","92.90000000000001","19.6","40.1","1193.2","48.2","134.9","857.4","152.7"
"1930","23.5","23.2","28.9","51","55.9","181.5","288.6","212","174.1","96.7","53","10.3","1198.5","46.7","135.8","856.1","160"
"1931","12.4","32.9","19","37.3","59.4","134.5","319.6","303.9","191.1","120.5","41.4","21","1292.8","45.2","115.7","949.1","182.8"
"1932","9.199999999999999","22.9","20.1","31","85.7","141.7","328.3","237.9","181.9","69.40000000000001","60.3","14.4","1202.9","32.2","136.8","889.8","144.1"
"1933","16.5","29.6","25.1","48.1","102.4","215.1","279.7","313.4","211.6","93.59999999999999","20.5","16.5","1372","46","175.6","1019.8","130.6"
"1934","23.3","11.5","16.1","46.8","47.3","217.7","284.8","294.4","166.8","65.8","32.4","10.5","1217.5","34.7","110.2","963.7","108.7"
"1935","26.9","20.7","19","41.5","36.8","159.4","313.5","246.9","185.3","49.9","16.7","11.2","1127.9","47.7","97.3","905.2","77.8"
"1936","12.3","41.8","37.8","33.5","82.7","245.8","292.5","236.7","193.9","66.40000000000001","57.2","21.2","1321.8","54.1","154.1","968.8","144.7"
